,,,,,runtime,runtime,runtime,runtime,runtime,runtime,runtime
value,,,,,baseline,dp_baseline,dp_baseline/baseline,dp_hooks,dp_hooks/baseline,hooks,hooks/baseline
batch_size,num_runs,num_repeats,forward_only,layer,,,,,,,
16,5,10,False,conv,0.0034464427176862955,,,,,0.009154095444828272,2.656099693127557
16,5,10,False,embedding,0.0006044677272439003,,,,,0.001219160882756114,2.0169164172170726
16,5,10,False,groupnorm,0.0005839994177222252,,,,,0.0014140881132334471,2.4213861697821883
16,5,10,False,gru,0.0012309781648218634,0.10772567783482374,87.51225725471164,0.1687940253596753,137.1218679448321,,
16,5,10,False,instancenorm,0.0009665478393435479,,,,,0.0021617149095982313,2.236531728286111
16,5,10,False,layernorm,0.0004801992699503899,,,,,0.0010257500316947698,2.1360924430408685
16,5,10,False,linear,0.0005896260403096675,,,,,0.0014102700259536506,2.391804176784639
16,5,10,False,lstm,0.0012944313790649177,0.0990185011550784,76.49575153733389,0.1590123698860407,122.84341407182929,,
16,5,10,False,mha,0.0021872667409479616,0.002477064300328493,1.132493012377143,0.0056762657500803474,2.595141069817691,,
16,5,10,False,rnn,0.0013699058443307878,0.057269407957792284,41.80536070766888,0.10661345769651234,77.82539080165326,,
16,100,20,False,conv,0.003448533790418878,,,,,0.009223756649764254,2.674689363749539
16,100,20,False,linear,0.0008863572115078569,,,,,0.0017705966595094652,1.9976107110330317
32,5,10,False,conv,0.00632081133313477,,,,,0.018843125654384497,2.9811245204560404
32,5,10,False,embedding,0.0006150252558290958,,,,,0.0013706146646291018,2.2285502125947985
32,5,10,False,groupnorm,0.0005558344721794128,,,,,0.0014451201446354389,2.599910975239012
32,5,10,False,gru,0.0014817022904753685,0.11046240789815784,74.55101379557065,0.1687002965155989,113.85573039876687,,
32,5,10,False,instancenorm,0.0009726663958281279,,,,,0.0018966379389166832,1.949936737869808
32,5,10,False,layernorm,0.000516792181879282,,,,,0.0012488190084695816,2.416482006226043
32,5,10,False,linear,0.0011315981391817331,,,,,0.0015952254272997382,1.4097101895671702
32,5,10,False,lstm,0.0013704486843198536,0.0981478651240468,71.61732230255456,0.16064459783956409,117.22044004828327,,
32,5,10,False,mha,0.0024826043751090764,0.0031268145050853484,1.2594896458071245,0.006299278121441603,2.537366881569616,,
32,5,10,False,rnn,0.0016552558448165657,0.051145085226744415,30.898598175566192,0.11040412478148938,66.69913000290556,,
32,100,20,False,conv,0.006349752980750055,,,,,0.018900678656529637,2.9766006195562307
32,100,20,False,linear,0.0008875194853171706,,,,,0.0019304387501906603,2.1750944989120824
64,5,10,False,conv,0.012349803047254682,,,,,0.03709190487861634,3.0034410052281557
64,5,10,False,embedding,0.00063684550113976,,,,,0.0025786176696419713,4.049047477020767
64,5,10,False,groupnorm,0.0006107407622039318,,,,,0.0012724824156612159,2.083506611003512
64,5,10,False,gru,0.001838096119463444,0.11105204567313194,60.416887069838864,0.17059216160327195,92.8091625877918,,
64,5,10,False,instancenorm,0.0009565223474055529,,,,,0.0019424718990921973,2.030764784911622
64,5,10,False,layernorm,0.0006157719809561969,,,,,0.0013547946605831384,2.200156393084589
64,5,10,False,linear,0.0008197931759059429,,,,,0.0018799764662981034,2.2932326366593205
64,5,10,False,lstm,0.0014729140885174274,0.09616813691332936,65.29107003798715,0.15361789539456366,104.2952176180139,,
64,5,10,False,mha,0.0027783098444342617,0.002808679584413767,1.0109310126227802,0.007062439732253551,2.541991400419795,,
64,5,10,False,rnn,0.0015537971071898937,0.05087229835800826,32.74063140071931,0.10061474820598962,64.75410961985607,,
64,100,20,False,conv,0.01239549637376331,,,,,0.03724159905617125,3.004445964342176
64,100,20,False,linear,0.0008573417633306235,,,,,0.0013961566537618636,1.6284715308140805
128,5,10,False,conv,0.024642334301024676,,,,,0.07544616326689721,3.0616483952074303
128,5,10,False,embedding,0.0006463799439370633,,,,,0.005053259059786796,7.817784427232819
128,5,10,False,groupnorm,0.0006654649600386619,,,,,0.0015796916931867602,2.3738164862879993
128,5,10,False,gru,0.0019194208830595016,0.1109387252293527,57.79801929242302,0.16875304085202517,87.91872712306728,,
128,5,10,False,instancenorm,0.0011521584913134575,,,,,0.001747840382158756,1.517013844307325
128,5,10,False,layernorm,0.0007502839621156454,,,,,0.0015945721976459027,2.1252915937980856
128,5,10,False,linear,0.0009280577767640352,,,,,0.001511025046929717,1.6281583806111515
128,5,10,False,lstm,0.002476964918896556,0.08862550125457347,35.77987745343384,0.1457918719481677,58.859078235599476,,
128,5,10,False,mha,0.0028784974571317437,0.003018544912338257,1.0486529716604518,0.006085135098546744,2.1139970380971707,,
128,5,10,False,rnn,0.0016211748216301205,0.049780133981257677,30.70620966787706,0.10159572218544781,62.667962042052615,,
128,100,20,False,conv,0.024775071341078723,,,,,0.07567531771771609,3.054494442251771
128,100,20,False,linear,0.0007807799878064544,,,,,0.0019651437439024448,2.516898197433794
256,5,10,False,conv,0.049787513716146356,,,,,,
256,5,10,False,embedding,0.0006166825536638498,,,,,0.009950136486440896,16.134940784889885
256,5,10,False,groupnorm,0.000747926514595747,,,,,0.001579282246530056,2.111547345508476
256,5,10,False,gru,0.003342551877722144,0.10679647539742292,31.95058126373845,0.1705933698359877,51.03686526841352,,
256,5,10,False,instancenorm,0.002228128854185343,,,,,0.003272874867543578,1.4688894052943895
256,5,10,False,layernorm,0.0014245086163282394,,,,,0.0012793431617319586,0.8980943653605593
256,5,10,False,linear,0.0007368600834161043,,,,,0.0018512537516653534,2.5123545070902584
256,5,10,False,lstm,0.004583152998238802,0.08936813808046282,19.49927006905615,0.14727932241745295,32.134934721587726,,
256,5,10,False,mha,0.0028302698209881788,0.002880736356601119,1.017830998033721,0.007223094003275037,2.5520867126206075,,
256,5,10,False,rnn,0.0016230858117341998,0.0465416016895324,28.674763437063522,0.09990653794258833,61.55345405665418,,
256,100,20,False,linear,0.0007840488797519356,,,,,0.0019854025617241857,2.5322433498691375
512,5,10,False,conv,0.10031620407477022,,,,,,
512,5,10,False,embedding,0.0006143741402775049,,,,,0.01971045205369592,32.08216420826723
512,5,10,False,groupnorm,0.0008051744662225246,,,,,0.0016645335406064987,2.067295487418592
512,5,10,False,gru,0.00615968169644475,0.108710193131119,17.648670578848975,0.16843888442963362,27.345387753859637,,
512,5,10,False,instancenorm,0.004313132436946035,,,,,0.00638344687409699,1.4800025196112148
512,5,10,False,layernorm,0.0007722094468772411,,,,,0.0019429392274469136,2.5160780346627702
512,5,10,False,linear,0.0007299404218792915,,,,,0.0029621777590364217,4.05810895005657
512,5,10,False,lstm,0.008640905292704702,0.08970901259221135,10.381899760890843,0.14944258611649275,17.29478348092339,,
512,5,10,False,mha,0.005455792089924217,0.005423723598942161,0.9941221200416929,0.006907612448558212,1.266106247214813,,
512,5,10,False,rnn,0.002809533914551139,0.04751566329039633,16.912293901954055,0.09829618841409685,34.986653090393816,,
512,100,20,False,linear,0.0006907043759711087,,,,,0.002911103990394622,4.214688789689078
